Amount,Transaction ID,repayment,Date-Time
90719.77,8936,945.92,2008-02-17 19:03:05
98643.79,7481,359.25,2008-05-05 07:59:27
35569.52,8278,558.9,2008-12-21 03:12:49
71392.12,5609,942.56,2008-09-29 05:31:54
31900.44,5900,741.8,2008-09-14 10:44:20
99073.88,7953,639.61,2008-07-06 15:19:03
87867.58,9350,434.82,2008-09-22 15:50:19
56559.1,8317,479.34,2008-12-01 12:54:59
69063.89,4578,821.73,2008-08-16 21:11:23
11302.9,6133,664.0,2008-09-10 05:40:59
14800.49,4050,270.86,2008-05-16 18:12:54
61584.1,5571,709.46,2008-10-29 06:02:21
80926.52,9246,618.23,2008-10-31 19:37:42
11520.37,4994,877.21,2008-03-04 16:03:34
20367.91,4076,616.83,2008-03-03 06:35:50
55490.65,4646,433.35,2008-04-22 12:59:30
96778.13,8625,200.6,2008-07-13 13:38:38
88177.37,7110,735.25,2008-03-01 19:00:55
58981.22,8575,746.91,2008-01-22 22:02:08
69935.36,6658,772.37,2008-12-02 05:43:26
36870.92,5094,957.87,2008-06-07 16:20:26
42887.17,4840,901.7,2008-07-29 21:42:17
30686.68,9498,755.69,2008-01-25 01:14:53
87733.96,4353,417.98,2008-11-05 12:40:17
88495.84,9167,136.93,2008-04-17 07:44:56
99664.45,7055,386.8,2008-04-03 08:42:00
88367.33,6772,336.3,2008-12-14 04:17:12
21095.54,8480,871.16,2008-08-18 02:34:47
20109.5,8637,249.35,2008-05-06 09:03:25
32655.23,9631,681.41,2008-01-06 23:20:07
47057.97,6394,675.89,2008-11-13 21:59:02
90426.5,7132,383.1,2008-07-25 20:44:29
18390.9,4180,513.44,2008-10-14 19:31:32
61090.31,6509,689.33,2008-03-02 03:18:05
99760.37,7771,909.86,2008-10-08 11:40:31
22291.82,4521,530.54,2008-11-01 01:49:20
49267.97,4196,905.6,2008-06-06 00:37:43
37239.61,5832,831.14,2008-08-06 19:25:55
58113.58,5838,960.84,2008-05-25 00:35:28
47263.22,5023,183.7,2008-01-14 21:34:48
52885.61,8360,366.88,2008-09-02 19:33:42
89020.9,9244,410.64,2008-08-14 15:23:05
48226.54,6876,503.21,2008-06-15 12:11:28
97650.83,7748,911.61,2008-01-21 13:30:15
64861.54,9587,108.3,2008-03-25 17:00:47
65920.23,4571,165.17,2008-01-06 21:17:36
40834.33,8514,399.92,2008-02-28 11:43:32
24017.21,9186,520.97,2008-06-11 05:45:05
34230.21,8549,672.7,2008-01-30 14:45:05
40330.56,5562,387.94,2008-01-08 16:13:58
34949.44,9116,148.36,2008-11-18 22:28:43
58549.27,7183,189.16,2008-03-04 16:15:00
93915.48,8643,996.88,2008-06-04 15:24:07
21344.34,8082,277.41,2008-09-19 18:13:56
32934.87,6044,995.23,2008-10-20 06:06:06
50691.6,9434,271.55,2008-02-18 13:04:46
25014.77,7243,389.64,2008-05-01 19:47:26
22563.69,7517,627.79,2008-09-08 08:56:21
64136.44,7929,410.62,2008-06-07 19:20:02
58312.16,8421,140.76,2008-11-17 18:02:45
41035.85,9648,722.4,2008-07-13 01:15:13
69651.38,5054,453.44,2008-10-27 15:33:30
99851.52,9571,825.0,2008-05-14 11:26:59
72096.3,7860,113.21,2008-10-17 12:15:14
22824.65,4760,783.9,2008-03-09 20:13:51
94975.62,6327,603.11,2008-08-29 19:03:13
29248.36,5775,720.9,2008-05-28 10:50:39
34434.19,7740,470.4,2008-05-09 03:42:38
65759.3,4954,649.23,2008-05-06 19:12:29
46480.31,4750,365.41,2008-11-29 12:44:41
89229.58,9381,850.54,2008-08-16 04:29:58
94350.89,8414,575.9,2008-06-10 06:18:12
49042.33,4230,153.55,2008-02-10 01:48:24
11351.82,5083,931.65,2008-09-23 15:57:05
21635.92,6336,967.79,2008-05-16 11:31:25
82927.32,5371,567.6,2008-05-17 15:45:43
14580.0,4554,190.66,2008-01-29 14:35:29
82276.83,7135,156.36,2008-12-19 07:49:35
27023.22,4562,947.37,2008-03-06 10:33:11
34054.16,8489,820.5,2008-12-15 19:09:29
23188.52,5379,606.91,2008-10-12 11:33:08
23508.78,9528,575.29,2008-05-27 13:56:16
26886.93,7292,951.2,2008-06-10 17:08:13
85675.76,9019,209.53,2008-10-16 06:23:58
99926.67,9877,458.5,2008-06-05 13:29:18
10355.65,4392,694.79,2008-11-01 01:47:07
71508.38,7847,201.15,2008-05-28 12:05:00
30534.6,6683,585.17,2008-04-02 06:39:53
86214.5,5778,401.35,2008-11-28 09:19:32
84516.49,6850,712.48,2008-12-17 03:48:08
89318.8,5743,793.39,2008-11-11 17:19:42
27440.43,4579,968.63,2008-06-20 23:51:50
43507.81,7942,620.33,2008-03-18 00:59:11
99408.6,4054,756.14,2008-12-07 17:09:42
41452.24,5654,718.46,2008-04-27 16:40:28
26032.53,7351,356.56,2008-12-02 12:56:34
87802.2,6719,430.24,2008-12-01 11:08:11
26200.71,8616,633.11,2008-08-05 20:41:25
26566.77,6901,634.15,2008-04-18 04:46:30
63645.8,6781,777.4,2008-01-27 17:10:54
40346.32,6727,429.17,2008-12-16 06:01:53
21304.35,4349,109.76,2008-11-26 20:30:58
36253.15,4416,759.5,2008-12-13 05:01:05
18215.78,6434,997.67,2008-02-11 23:36:36
77394.67,4532,368.89,2008-07-02 13:58:24
12122.92,6814,483.58,2008-07-18 15:53:49
93626.48,5957,786.12,2008-06-30 13:01:25
62403.89,4395,608.19,2008-03-06 11:02:35
54231.99,9692,150.67,2008-05-20 11:04:59
93315.5,8078,832.0,2008-08-21 13:01:15
52128.74,7194,786.76,2008-01-27 05:34:41
16985.3,7053,756.44,2008-03-10 08:20:06
68739.76,9143,815.11,2008-04-08 03:51:22
74040.3,7985,139.89,2008-03-13 10:00:33
96465.59,5064,326.62,2008-12-07 23:02:24
38511.39,9549,359.31,2008-04-17 14:12:23
76097.68,4334,917.18,2008-07-16 04:11:07
94229.81,8708,497.84,2008-12-17 12:02:01
45528.29,9779,159.17,2008-09-26 22:48:46
64678.96,4370,272.86,2008-04-17 00:01:13
77733.73,7944,355.54,2008-09-17 07:26:46
69803.31,8923,764.85,2008-07-16 08:54:10
76456.56,4629,447.82,2008-05-31 03:54:08
71533.4,9555,212.3,2008-11-13 02:34:14
10076.46,6063,567.68,2008-09-06 09:44:34
58636.9,8973,792.96,2008-02-05 17:57:07
34450.7,9945,144.51,2008-10-22 17:00:50
96929.8,5124,991.11,2008-04-25 08:44:09
34273.87,4195,386.17,2008-07-01 08:59:11
82664.17,4835,959.67,2008-06-01 04:01:29
87480.45,8488,907.96,2008-09-20 13:55:10
96239.62,7831,344.69,2008-09-05 12:32:00
39048.36,9026,191.34,2008-07-03 02:57:15
97938.52,7127,403.59,2008-10-21 16:34:50
49527.18,7686,205.4,2008-02-26 01:44:53
78739.41,8423,736.49,2008-02-24 18:22:13
41789.53,9746,215.1,2008-11-13 14:38:59
69577.9,4195,349.98,2008-01-13 20:31:21
95030.54,8092,660.58,2008-02-07 23:17:05
41523.1,5291,108.4,2008-03-13 12:19:59
19738.32,5087,831.43,2008-11-28 05:40:52
11951.76,8046,743.77,2008-05-01 04:02:39
69206.34,4703,514.31,2008-04-07 15:03:11
15682.33,9892,912.12,2008-08-26 00:14:46
31994.64,5327,381.49,2008-07-11 15:02:44
32147.7,5075,715.73,2008-12-20 21:52:21
23322.23,4629,652.86,2008-03-26 19:02:09
20354.51,9524,923.2,2008-12-13 13:28:33
60256.62,7028,405.4,2008-06-01 01:44:38
20673.14,6127,320.2,2008-05-24 09:32:54
11644.77,9644,117.76,2008-05-15 16:07:56
21121.72,8113,687.8,2008-08-27 08:49:09
63908.47,6118,384.11,2008-03-03 06:16:22
37645.66,8030,961.29,2008-09-15 18:27:51
66152.61,7787,666.65,2008-04-03 09:01:37
96363.66,7432,734.34,2008-01-29 01:37:58
69000.65,4393,953.59,2008-04-20 19:10:14
28099.93,5960,141.92,2008-06-15 18:36:44
30321.72,9173,718.74,2008-12-01 04:17:34
77584.79,8450,349.84,2008-05-31 05:17:50
95513.9,7084,225.32,2008-07-25 23:09:54
75265.64,4960,855.89,2008-05-11 04:20:30
99016.86,8190,616.82,2008-03-22 00:27:48
59457.38,5246,979.71,2008-12-03 13:43:50
61832.48,8097,490.6,2008-08-26 06:41:02
69070.9,6743,609.73,2008-06-16 05:41:47
76033.68,8520,515.48,2008-09-12 09:05:44
62611.55,5782,537.61,2008-01-29 04:08:31
90852.57,8130,781.92,2008-02-03 02:50:29
87995.54,9826,840.62,2008-02-15 00:53:39
